state,year,quater,total_transaction_count,total_amount
chandigarh,2018,3,616936,1369354447.5343113
chandigarh,2018,4,905116,2032591591.7799735
chandigarh,2019,1,1274476,2396032050.444028
chandigarh,2019,2,1252470,2693116098.9444556
chandigarh,2019,3,1506543,3269682087.66084
chandigarh,2019,4,1850915,4152513817.939351
chandigarh,2020,1,2262511,5126453070.0162
chandigarh,2020,2,1528010,3847015729.6900754
chandigarh,2020,3,2158086,5089809353.365071
chandigarh,2020,4,2912716,6146762901.349342
chandigarh,2021,1,3970237,7596420859.545996
chandigarh,2021,2,4417547,8417673939.936105
chandigarh,2021,3,6649378,11815883004.693302
chandigarh,2021,4,7898903,14373583510.618448
chandigarh,2022,1,8600491,15174991549.839996
chandigarh,2022,2,10772489,17283500158.37099
chandigarh,2022,3,13478173,20559757737.40584
chandigarh,2022,4,17904840,27879754566.93942
chhattisgarh,2018,1,1891514,2149155557.2367654
chhattisgarh,2018,2,2816156,4264170443.1616497
chhattisgarh,2018,3,3859604,6302307073.446317
chhattisgarh,2018,4,5365844,9416412664.971485
chhattisgarh,2019,1,7887669,12544556385.328438
chhattisgarh,2019,2,9389945,17002355688.82229
chhattisgarh,2019,3,12243111,19803259167.453526
chhattisgarh,2019,4,16305758,27143788737.213383
chhattisgarh,2020,1,19523991,32860597671.356224
chhattisgarh,2020,2,18820925,32268382206.901352
chhattisgarh,2020,3,24148539,41526744807.53408
chhattisgarh,2020,4,35529636,62214974283.94857
chhattisgarh,2021,1,39436437,69409843261.55156
chhattisgarh,2021,2,44689420,78728771259.22603
chhattisgarh,2021,3,64237938,104606108262.77673
chhattisgarh,2021,4,84717494,136399110518.81277
chhattisgarh,2022,1,97413292,157847045454.83444
chhattisgarh,2022,2,116584048,181181677163.78122
chhattisgarh,2022,3,158252587,220161558081.98895
chhattisgarh,2022,4,177960446,252519180810.47153
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,148549,175658384.10921684
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,202626,302070771.65615153
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,289575,447639595.6781753
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,404082,658750616.8008868
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,661814,843369776.0499005
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,489656,824441276.5650709
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,638751,961471473.8483717
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,768971,1226641262.01104
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,878579,1342763369.2925172
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,973152,1302376453.8880575
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,1138312,1749789114.9993618
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,1817791,2700511100.8285055
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,1925244,2965632911.1935043
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,2125083,3157668461.418904
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,3129470,4305939102.791506
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,4157085,5565839386.330659
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,4802803,6237048367.26239
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,5759771,6995159780.810838
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,6465621,7520647359.499437
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,7189585,8059640746.081128
delhi,2018,1,7122754,11211503806.919962
delhi,2018,2,9373723,17446299902.20514
delhi,2018,3,18547048,27375846860.618557
delhi,2018,4,29187719,39722857618.7064
delhi,2019,1,47007327,58469131789.49728
delhi,2019,2,57171512,81706816063.6283
delhi,2019,3,69537876,103196812046.45686
delhi,2019,4,80744997,129024467424.89067
delhi,2020,1,81747604,133616543642.59007
delhi,2020,2,66042018,107873438203.33101
delhi,2020,3,96491861,175163962804.66055
delhi,2020,4,120540417,216265088224.5435
delhi,2021,1,157359004,266928345043.49255
delhi,2021,2,170157264,281941097684.5413
delhi,2021,3,238760608,383858316548.2811
delhi,2021,4,292683359,488695314062.3912
delhi,2022,1,330999861,536964920836.2888
delhi,2022,2,410634184,629855650458.2168
delhi,2022,3,475592161,677612647116.1163
delhi,2022,4,515203457,744915016018.5758
goa,2018,1,160897,303856742.3430838
goa,2018,2,229575,478603825.35861504
goa,2018,3,339511,713166969.238234
goa,2018,4,514755,1153005078.9224043
goa,2019,1,738812,1475323397.276576
goa,2019,2,768441,1591867103.3876157
goa,2019,3,1092416,2000367191.496841
goa,2019,4,1515272,2923460348.499468
goa,2020,1,1881237,3410371231.9237623
goa,2020,2,1482092,2183616430.0167713
goa,2020,3,1915531,3368343580.9446597
goa,2020,4,3801381,6899792747.579932
goa,2021,1,5331549,9757242879.021425
goa,2021,2,4710135,8012853587.076005
goa,2021,3,6467763,10478425592.936369
goa,2021,4,11088759,18627257115.86965
goa,2022,1,12214098,19816445402.846107
goa,2022,2,14216054,22873037759.520195
goa,2022,3,13188687,19574265275.70632
goa,2022,4,17192674,24924986371.339146
gujarat,2018,1,5948775,7577982255.034049
gujarat,2018,2,7745733,12162684771.64103
gujarat,2018,3,11334149,17866404426.275486
gujarat,2018,4,14733303,24830987102.782597
gujarat,2019,1,24991451,35856080308.47694
gujarat,2019,2,28981842,49320615219.267456
gujarat,2019,3,38228649,59462694964.2678
gujarat,2019,4,42547632,76690662054.91406
gujarat,2020,1,47326417,86995076621.90312
gujarat,2020,2,47420185,80387846359.49063
gujarat,2020,3,59290179,111921752484.7122
gujarat,2020,4,77828547,148393060112.43915
gujarat,2021,1,94774565,183700780713.45035
gujarat,2021,2,111841396,210162054552.11707
gujarat,2021,3,149248407,272624626113.58823
gujarat,2021,4,182987325,342382580053.62775
gujarat,2022,1,210547146,392548092253.54785
gujarat,2022,2,252052796,446798000976.84546
gujarat,2022,3,303239732,497437502209.4494
gujarat,2022,4,341156018,567918305336.5378
haryana,2018,1,4480770,6793511514.660397
haryana,2018,2,6150931,11320414442.116419
haryana,2018,3,8262024,16375139007.627693
haryana,2018,4,12950183,25390876016.45593
haryana,2019,1,22135775,34051655721.631638
haryana,2019,2,22741816,42501539813.21621
haryana,2019,3,30343531,52489119199.44203
haryana,2019,4,37825985,69359719869.10129
haryana,2020,1,44036087,81976214558.24406
haryana,2020,2,41781050,80711264923.94069
haryana,2020,3,57938179,109567950445.73077
haryana,2020,4,83171439,159998504366.5417
haryana,2021,1,90252784,168938301082.42828
haryana,2021,2,105680856,200357354238.68405
haryana,2021,3,140459693,240827092259.2092
haryana,2021,4,169686975,309240599300.4606
haryana,2022,1,191988609,341304042652.77704
haryana,2022,2,234699962,395234035249.50635
haryana,2022,3,269361810,428054494578.0264
haryana,2022,4,296648365,490490659880.1035
himachal-pradesh,2018,1,481918,628737806.3723378
himachal-pradesh,2018,2,687695,1183169301.351119
himachal-pradesh,2018,3,886754,1754041432.858029
himachal-pradesh,2018,4,1307883,2621298968.1392484
himachal-pradesh,2019,1,2168718,3381481442.9910517
himachal-pradesh,2019,2,2502306,4875883973.6105995
himachal-pradesh,2019,3,2735180,5572018781.123335
himachal-pradesh,2019,4,3516646,7271163537.248182
himachal-pradesh,2020,1,4144480,7419466751.122686
himachal-pradesh,2020,2,4695730,8036904762.543936
himachal-pradesh,2020,3,5489876,10516054014.086983
himachal-pradesh,2020,4,7272328,13989053108.812897
himachal-pradesh,2021,1,7614029,14120546909.487526
himachal-pradesh,2021,2,9483902,16495634539.809229
himachal-pradesh,2021,3,12064167,21310262071.128033
himachal-pradesh,2021,4,14666864,26136220500.625816
himachal-pradesh,2022,1,16088180,26518447439.932804
himachal-pradesh,2022,2,21291371,33709107958.242287
himachal-pradesh,2022,3,25164868,37380782688.5404
himachal-pradesh,2022,4,28555136,41779343232.37368
jammu-&-kashmir,2018,1,941568,1005371239.256127
jammu-&-kashmir,2018,2,1796326,2651206236.502874
jammu-&-kashmir,2018,3,2303961,3934700999.457669
jammu-&-kashmir,2018,4,2721310,5664720265.697519
jammu-&-kashmir,2019,1,3584987,5951835476.521016
jammu-&-kashmir,2019,2,2296355,6100142201.563506
jammu-&-kashmir,2019,3,1116526,3744230491.782468
jammu-&-kashmir,2019,4,489928,1929695997.8225968
jammu-&-kashmir,2020,1,921630,2937643176.534017
jammu-&-kashmir,2020,2,2635006,8265648939.258549
jammu-&-kashmir,2020,3,3465898,11977229760.872469
jammu-&-kashmir,2020,4,5754444,15380905803.378195
jammu-&-kashmir,2021,1,6997570,17138349893.151728
jammu-&-kashmir,2021,2,10027819,22813755428.59164
jammu-&-kashmir,2021,3,13151041,31598443648.032127
jammu-&-kashmir,2021,4,16790628,38926237425.77167
jammu-&-kashmir,2022,1,16245311,33147863626.15906
jammu-&-kashmir,2022,2,23813747,46254290836.6356
jammu-&-kashmir,2022,3,22534394,40963554502.24822
jammu-&-kashmir,2022,4,27316158,44315295915.49385
jharkhand,2018,1,2178921,2374186389.9193854
jharkhand,2018,2,3152080,4721575659.062853
jharkhand,2018,3,8122621,8661571417.704618
jharkhand,2018,4,6284043,10241916641.122362
jharkhand,2019,1,9387708,13627236449.278105
jharkhand,2019,2,10128211,18622701305.546318
jharkhand,2019,3,14220647,21465973993.35914
jharkhand,2019,4,18248618,28147748376.677113
jharkhand,2020,1,18282713,33611232153.268803
jharkhand,2020,2,20141511,37486201975.92359
jharkhand,2020,3,27068473,50622615820.01363
jharkhand,2020,4,39431633,72805174830.04355
jharkhand,2021,1,44621663,83749353123.13959
jharkhand,2021,2,54002145,104432643311.45796
jharkhand,2021,3,70795702,121891015118.85307
jharkhand,2021,4,96009042,166017119003.70584
jharkhand,2022,1,110911210,194700207087.16724
jharkhand,2022,2,132925275,225636227828.13782
jharkhand,2022,3,146815332,229412884063.95782
jharkhand,2022,4,175300092,277971737448.58136
karnataka,2018,1,12016899,19217895314.013504
karnataka,2018,2,17116447,33515580081.300983
karnataka,2018,3,25980261,48225091755.80808
karnataka,2018,4,44812071,73008386576.06798
karnataka,2019,1,86587609,117976382145.75723
karnataka,2019,2,115401604,163702024226.08423
karnataka,2019,3,170733735,214536720438.18842
karnataka,2019,4,237796252,295047143447.23224
karnataka,2020,1,271033890,353402054999.3977
karnataka,2020,2,213221712,321104877020.1378
karnataka,2020,3,300360531,470740515696.6817
karnataka,2020,4,431536984,658036698565.0184
karnataka,2021,1,523797492,754995357412.3932
karnataka,2021,2,530649046,837887151230.0492
karnataka,2021,3,753296539,1133234739157.5894
karnataka,2021,4,931725438,1375471324349.8733
karnataka,2022,1,1057855407,1566649488305.8816
karnataka,2022,2,1277448960,1867146114059.2336
karnataka,2022,3,1189761328,1665918232611.0237
karnataka,2022,4,1378910371,1904516622907.6426
kerala,2018,1,1771380,2402674753.100505
kerala,2018,2,2308165,3886923343.4426236
kerala,2018,3,3134348,5323025223.875456
kerala,2018,4,4310654,7747361236.812408
kerala,2019,1,6469039,10235031134.84968
kerala,2019,2,7283826,13031371561.185537
kerala,2019,3,9286096,16429809722.064484
kerala,2019,4,12498637,21151326637.80475
kerala,2020,1,15733522,26451084830.934254
kerala,2020,2,16287967,25894078478.600193
kerala,2020,3,21758680,40164150651.95419
kerala,2020,4,33288187,56755256647.01138
kerala,2021,1,42316342,69260970161.89462
kerala,2021,2,47191033,74226806436.15651
kerala,2021,3,63028266,101686161773.12962
kerala,2021,4,81823741,123342136943.36371
kerala,2022,1,95280965,139988942464.69403
kerala,2022,2,106365322,154696329549.12445
kerala,2022,3,119362904,162260419315.42944
kerala,2022,4,132960468,173559808599.70956
ladakh,2018,1,6089,12532857.77111477
ladakh,2018,2,15010,47334902.53774148
ladakh,2018,3,24864,84090977.14484605
ladakh,2018,4,35211,135522842.49263743
ladakh,2019,1,46145,152859920.94912717
ladakh,2019,2,68772,259255506.99742487
ladakh,2019,3,92396,331129527.1938222
ladakh,2019,4,84706,324689360.0281116
ladakh,2020,1,116419,377639677.4457435
ladakh,2020,2,155010,523792998.65202427
ladakh,2020,3,228222,835487500.0581932
ladakh,2020,4,332134,1111963470.5079606
ladakh,2021,1,275415,983419813.2468792
ladakh,2021,2,399716,1427259095.470319
ladakh,2021,3,590987,2213984743.934588
ladakh,2021,4,630187,2153535138.7802663
ladakh,2022,1,630015,2025040918.842209
ladakh,2022,2,1118073,3543318177.99627
ladakh,2022,3,1190858,3605199350.373904
ladakh,2022,4,1083372,2894477572.678949
lakshadweep,2018,1,778,1928611.1808777405
lakshadweep,2018,2,2132,6187809.5394005375
lakshadweep,2018,3,1703,4339032.311985849
lakshadweep,2018,4,1642,4463213.698222831
lakshadweep,2019,1,2481,8786130.479338994
lakshadweep,2019,2,2926,9242524.136988888
lakshadweep,2019,3,3104,9651761.46376847
lakshadweep,2019,4,3765,11269913.404923847
lakshadweep,2020,1,5151,13502368.574504206
lakshadweep,2020,2,7220,16942922.0859444
lakshadweep,2020,3,8589,21306833.30865683
lakshadweep,2020,4,11650,30111317.917080387
lakshadweep,2021,1,9085,27042782.914081145
lakshadweep,2021,2,11384,27383463.65795153
lakshadweep,2021,3,13370,38803163.69876813
lakshadweep,2021,4,15470,50998185.52838102
lakshadweep,2022,1,16397,54939432.65393007
lakshadweep,2022,2,17569,55929601.989905685
lakshadweep,2022,3,15241,47580009.61750026
lakshadweep,2022,4,17147,54813873.61493625
madhya-pradesh,2018,1,8025395,8681603403.44592
madhya-pradesh,2018,2,10561412,15924081066.679304
madhya-pradesh,2018,3,17126985,24149742204.672405
madhya-pradesh,2018,4,21397555,33905608072.96732
madhya-pradesh,2019,1,37301049,48070279522.047844
madhya-pradesh,2019,2,40846013,68334566380.55788
madhya-pradesh,2019,3,53610411,77676321491.2433
madhya-pradesh,2019,4,68131989,104687926790.85823
madhya-pradesh,2020,1,79366746,126737281436.19415
madhya-pradesh,2020,2,76340573,147922015289.06244
madhya-pradesh,2020,3,108579881,205701679984.53812
madhya-pradesh,2020,4,153652541,284275139772.37134
madhya-pradesh,2021,1,201998498,343533954382.2885
madhya-pradesh,2021,2,223314680,425500768035.62476
madhya-pradesh,2021,3,311443334,504412603851.5364
madhya-pradesh,2021,4,404308084,656887492404.506
madhya-pradesh,2022,1,472703058,747665139599.6476
madhya-pradesh,2022,2,544899829,867024737328.5856
madhya-pradesh,2022,3,731259559,1032908494249.664
madhya-pradesh,2022,4,898828268,1302999857548.324
maharashtra,2018,1,16387034,21711613257.725376
maharashtra,2018,2,22285740,36357057241.12071
maharashtra,2018,3,31538538,52260817733.247025
maharashtra,2018,4,46090223,79518937047.83362
maharashtra,2019,1,75079069,111420690920.341
maharashtra,2019,2,101149853,153294470088.05832
maharashtra,2019,3,148735581,199617506744.9509
maharashtra,2019,4,201260620,272994428799.55032
maharashtra,2020,1,238944081,319995196718.0955
maharashtra,2020,2,184790761,296359517159.41486
maharashtra,2020,3,268310924,440307079012.445
maharashtra,2020,4,407621004,622155530832.2941
maharashtra,2021,1,517860240,769887352153.2501
maharashtra,2021,2,573616486,915115055623.7015
maharashtra,2021,3,792874060,1159257305167.4438
maharashtra,2021,4,1010731502,1475358473128.5
maharashtra,2022,1,1169506438,1681399273981.1343
maharashtra,2022,2,1407533113,2006272382175.8882
maharashtra,2022,3,1486389417,1947579187374.5466
maharashtra,2022,4,1688775272,2210470839617.1304
manipur,2018,1,84069,128046173.93020903
manipur,2018,2,151721,253209721.3194942
manipur,2018,3,189258,383331244.7941224
manipur,2018,4,236110,605683559.3060118
manipur,2019,1,265409,659898060.4240792
manipur,2019,2,257425,722789942.1495004
manipur,2019,3,345008,863552002.5629343
manipur,2019,4,449344,1200897682.0886364
manipur,2020,1,818801,2598590380.8769436
manipur,2020,2,1083068,3198936212.805512
manipur,2020,3,1420168,4615976120.870506
manipur,2020,4,1627852,5602224558.458754
manipur,2021,1,2303535,7070287514.479242
manipur,2021,2,3086275,7889827962.396641
manipur,2021,3,3941396,10406861028.904852
manipur,2021,4,4687439,12658472038.21183
manipur,2022,1,5313679,14144501078.373814
manipur,2022,2,6105632,14922910635.149303
manipur,2022,3,6352742,15381430267.299723
manipur,2022,4,6428670,15625956698.341476
meghalaya,2018,1,49571,66250259.78990052
meghalaya,2018,2,67857,117004667.84183164
meghalaya,2018,3,110290,209853661.53439415
meghalaya,2018,4,161132,337585679.00467384
meghalaya,2019,1,208741,399037162.153435
meghalaya,2019,2,232286,492931289.1072789
meghalaya,2019,3,306550,612218602.1535331
meghalaya,2019,4,365981,742436471.790219
meghalaya,2020,1,502283,1120134840.9078138
meghalaya,2020,2,635395,1153735154.338397
meghalaya,2020,3,597579,1237059001.383034
meghalaya,2020,4,754008,1804242572.1989703
meghalaya,2021,1,747646,2055515277.9898355
meghalaya,2021,2,909594,2193617254.8905983
meghalaya,2021,3,1097731,2769000451.527971
meghalaya,2021,4,1440193,3848765400.1861544
meghalaya,2022,1,1674750,4662338331.331893
meghalaya,2022,2,2044649,5281491421.884796
meghalaya,2022,3,4359165,9603300797.121548
meghalaya,2022,4,3932448,8996541156.348654
mizoram,2018,1,18561,45227219.97579082
mizoram,2018,2,27051,83508405.55773434
mizoram,2018,3,39316,116600738.1253904
mizoram,2018,4,55242,190426852.52952957
mizoram,2019,1,70306,218160895.39740252
mizoram,2019,2,75671,248016708.13501424
mizoram,2019,3,98094,278793899.9513421
mizoram,2019,4,125239,368689350.6344884
mizoram,2020,1,153609,392077579.34963703
mizoram,2020,2,198462,457193433.44231826
mizoram,2020,3,254703,707944175.5046004
mizoram,2020,4,322607,986522115.6939578
mizoram,2021,1,329575,1101105586.9459379
mizoram,2021,2,394340,1122874473.302093
mizoram,2021,3,478529,1473748650.2119513
mizoram,2021,4,553329,1770665741.523041
mizoram,2022,1,604917,1945158963.6112459
mizoram,2022,2,643977,2003186567.108936
mizoram,2022,3,659038,1946265612.0679538
mizoram,2022,4,693774,2037911085.263019
nagaland,2018,1,42845,78005891.0861251
nagaland,2018,2,65599,153325577.88030165
nagaland,2018,3,94371,241792742.93665317
nagaland,2018,4,139333,388013467.5456237
nagaland,2019,1,168579,441941712.4123301
nagaland,2019,2,188753,520066682.1585043
nagaland,2019,3,261878,650956471.7134115
nagaland,2019,4,317170,834537138.348775
nagaland,2020,1,378051,894780028.73437
nagaland,2020,2,517566,1137674504.3478007
nagaland,2020,3,736319,2009649143.1547947
nagaland,2020,4,847825,2773084870.562685
nagaland,2021,1,975897,3107450484.6131988
nagaland,2021,2,1130791,3156293963.7818685
nagaland,2021,3,1356792,3987416848.005448
nagaland,2021,4,1631483,4939083784.1364765
nagaland,2022,1,1925952,5544951708.895756
nagaland,2022,2,2031329,5740285349.020281
nagaland,2022,3,1894113,5364400495.05083
nagaland,2022,4,2476205,6969966384.314046
odisha,2018,1,5809821,4627632210.887482
odisha,2018,2,8158144,8488310339.619694
odisha,2018,3,30052155,23094515775.584824
odisha,2018,4,21142798,23429869571.561295
odisha,2019,1,34031942,35427127930.699646
odisha,2019,2,29512024,44754854871.673836
odisha,2019,3,41422272,57304577359.22322
odisha,2019,4,64995633,79769373632.05055
odisha,2020,1,53682307,91956798199.33315
odisha,2020,2,50028576,91733036612.09654
odisha,2020,3,66033829,122463943804.29266
odisha,2020,4,92324950,178302663014.61725
odisha,2021,1,111460358,213397736188.34085
odisha,2021,2,131824337,245864117477.27438
odisha,2021,3,177362674,303780718933.0413
odisha,2021,4,233925366,385251049689.9193
odisha,2022,1,263633499,451227311779.8238
odisha,2022,2,313451598,510035012340.0272
odisha,2022,3,386687326,564545557340.5499
odisha,2022,4,445714743,652217064524.0002
puducherry,2018,1,104212,165825971.36983612
puducherry,2018,2,130261,285801119.53243685
puducherry,2018,3,190271,417658075.4942069
puducherry,2018,4,307964,625691665.4234948
puducherry,2019,1,501092,906473024.3065218
puducherry,2019,2,580077,1211446910.1278074
puducherry,2019,3,716826,1460708357.4554107
puducherry,2019,4,1012655,1932028317.878903
puducherry,2020,1,1207921,2205277477.0795827
puducherry,2020,2,1033383,1960030980.4875908
puducherry,2020,3,1730902,3598080229.4346027
puducherry,2020,4,2716003,4930526217.6712055
puducherry,2021,1,3309432,5899309571.743651
puducherry,2021,2,3751387,6498834696.543893
puducherry,2021,3,5121726,8729974431.01447
puducherry,2021,4,6368810,10423651801.230513
puducherry,2022,1,7359176,12083474905.386654
puducherry,2022,2,8643687,13778745255.768896
puducherry,2022,3,7042727,10854317711.140947
puducherry,2022,4,7556127,11142204877.174492
punjab,2018,1,1870433,2780758224.8543954
punjab,2018,2,2581163,4684672212.007034
punjab,2018,3,3462108,7065687043.821194
punjab,2018,4,4887137,10781982573.64979
punjab,2019,1,7172137,13574490001.853159
punjab,2019,2,8509830,18614793394.772312
punjab,2019,3,10706812,22905815605.843334
punjab,2019,4,13698625,29989802246.192448
punjab,2020,1,15217784,31374185265.899666
punjab,2020,2,14081294,30284654252.213646
punjab,2020,3,17209573,40123092147.81338
punjab,2020,4,22997925,53775406479.55503
punjab,2021,1,26770835,58690887091.10669
punjab,2021,2,32171248,69531058562.61519
punjab,2021,3,42533489,85992560840.61218
punjab,2021,4,52359360,110710126241.99957
punjab,2022,1,57758302,118389978105.96286
punjab,2022,2,72272823,137345426369.22704
punjab,2022,3,84177897,149319443006.3547
punjab,2022,4,91835180,168107427177.93896
rajasthan,2018,1,7591690,8926293130.72678
rajasthan,2018,2,9973697,15559086175.758095
rajasthan,2018,3,14257098,24040768671.212444
rajasthan,2018,4,20959723,37909087083.33867
rajasthan,2019,1,43956040,61141158575.55401
rajasthan,2019,2,50009286,89107313172.66544
rajasthan,2019,3,67303617,112468290031.93028
rajasthan,2019,4,85074242,159452410049.67044
rajasthan,2020,1,102258812,190308238561.00797
rajasthan,2020,2,101954656,193763273003.26532
rajasthan,2020,3,149088676,293678306162.458
rajasthan,2020,4,190283435,386034779836.5043
rajasthan,2021,1,252730919,491492581657.6454
rajasthan,2021,2,287477039,561702765169.2445
rajasthan,2021,3,400284753,710511328542.4847
rajasthan,2021,4,487621597,903934418544.316
rajasthan,2022,1,564962220,1022050180980.1289
rajasthan,2022,2,661170150,1152833518600.392
rajasthan,2022,3,767541360,1238489256318.2766
rajasthan,2022,4,865574848,1456956699398.657
sikkim,2018,1,44078,64650938.940368414
sikkim,2018,2,74578,143693085.52979565
sikkim,2018,3,108500,235080226.95331785
sikkim,2018,4,154533,383141358.07825375
sikkim,2019,1,240287,457993634.3840937
sikkim,2019,2,388244,738894243.4359412
sikkim,2019,3,552436,884716448.4404284
sikkim,2019,4,767070,1176509601.6562178
sikkim,2020,1,528118,1053476271.9444021
sikkim,2020,2,517731,1054618788.2612665
sikkim,2020,3,596435,1400926728.660399
sikkim,2020,4,735035,1919275805.1229234
sikkim,2021,1,800189,2217667726.840725
